Change component parameters: Designator = "IC1" ("IC1"); Footprint = "SOIC-8-N"; UniqueID = "\MOEPXYMO\GHPVVPLX" ("\MOEPXYMO\GHPVVPLX")
Change component parameters (AddParameter): Name = "Best.-Nr."; Value = "Farnell 209-6178"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channels"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Class I"; Value = "Analog"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Class II"; Value = "Fully Differential ADC Drivers (-40-125°C)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Component Type"; Value = "ADC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.mouser.de/datasheet/2/609/ADA4940-1_4940-2-878284.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Created from"; Value = "MGremer"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Created On"; Value = "15.01.2021 12:16:53"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Consumption"; Value = "0.00125"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "DSO11449, Ver. Aug 2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "SOIC-8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Last edited"; Value = "04.01.2007 10:14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Last Updated"; Value = "22.11.2021 15:19:18"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Live Cycle Status"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Analog Devices"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "ADA4940-1ARZ-R7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40 - 105 °C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "SOIC-N-8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartID"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Resolution"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock number"; Value = "not stored"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "584-ADA4940-1ARZ-R7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "ADC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "differential ADC driver"; VariantName = "[No Variations]"
Change component parameters: Designator = "PS1" ("PS1"); Footprint = "TEL 12-2423"; UniqueID = "\DBUCOXBM\LUZCXMHQ" ("\DBUCOXBM\LUZCXMHQ")
Change component parameters (AddParameter): Name = "Component Type"; Value = "VRM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1951-TEL12-2423-ND"; VariantName = "[No Variations]"
Change component parameters: Designator = "PS2" ("PS2"); Footprint = "TEL 12-2423"; UniqueID = "\DBUCOXBM\VZIYWXJK" ("\DBUCOXBM\VZIYWXJK")
Change component parameters (AddParameter): Name = "Component Type"; Value = "VRM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "1951-TEL12-2423-ND"; VariantName = "[No Variations]"
Change component parameters: Designator = "PS3" ("PS3"); Footprint = "TMA 2405D"; UniqueID = "\ORUGFTSC\KPEPSRVU" ("\ORUGFTSC\KPEPSRVU")
Change component parameters (AddParameter): Name = "Component Type"; Value = "VRM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "490-PGNM1-S24-S5-S"; VariantName = "[No Variations]"
Change component parameters: Designator = "R7" ("R7"); Footprint = "RES 1206_3216"; UniqueID = "\MOEPXYMO\PIOSEUMD" ("\MOEPXYMO\PIOSEUMD")
Change component parameters (AddParameter): Name = "Component Type"; Value = "SMD resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.koaspeer.com/pdfs/SG73G.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Created from"; Value = "TGaupp"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Created On"; Value = "13.03.2024 10:06:45"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Consumption"; Value = "0.200"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "1206"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Last Updated"; Value = "13.03.2024 10:06:45"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Live Cycle Status"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "KOA Speer"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "SG73G2BTTD10R0D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartID"; Value = "329"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock number"; Value = "not stored"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "660-SG73G2BTTD10R0D"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.5%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R8" ("R8"); Footprint = "RES 1206_3216"; UniqueID = "\EIBVCBDS\JPTAQFRI" ("\EIBVCBDS\JPTAQFRI")
Change component parameters (AddParameter): Name = "Component Type"; Value = "SMD resistor"; VariantName = "[No Variations]"
