Altium Designer Pick and Place Locations
C:\Users\Tom Gaupp\Documents\uz_ext_current_sensing_dsub_to_rj45\Project Outputs for uz_ext_current_sensing_dsub_to_rj45\Rev01\Pick Place\uz_ext_current_sensing_dsub_to_rj45_Rev01.csv

========================================================================================================================
File Design Information:

Date:       03.04.24
Time:       11:58
Revision:   5436f41592080453483d433d548fcdc4f6c412cc
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"D8","1SS356VMFHTE17","33.5000","33.5000","61.0000","61.0000","33.5000","59.9500","180","1SS356VMFHTE-17","TopLayer"
"D7","1SS356VMFHTE17","31.0000","31.0000","61.0000","61.0000","31.0000","62.0500","0","1SS356VMFHTE-17","TopLayer"
"D6","1SS356VMFHTE17","33.5000","33.5000","66.0000","66.0000","33.5000","67.0500","0","1SS356VMFHTE-17","TopLayer"
"D5","1SS356VMFHTE17","31.0000","31.0000","66.0000","66.0000","31.0000","64.9500","180","1SS356VMFHTE-17","TopLayer"
"D4","1SS356VMFHTE17","32.9926","32.9926","97.4500","97.4500","32.9926","96.4000","180","1SS356VMFHTE-17","TopLayer"
"D3","1SS356VMFHTE17","29.9926","29.9926","97.5000","97.5000","29.9926","98.5500","0","1SS356VMFHTE-17","TopLayer"
"D2","1SS356VMFHTE17","32.9926","32.9926","102.5000","102.5000","32.9926","103.5500","0","1SS356VMFHTE-17","TopLayer"
"D1","1SS356VMFHTE17","29.9926","29.9926","102.5500","102.5500","29.9926","101.5000","180","1SS356VMFHTE-17","TopLayer"
"J5","23117652","18.4416","17.0216","20.8050","26.3455","18.4416","20.8050","270","2311765-2","TopLayer"
"J4","23117652","18.4400","17.0200","141.3450","146.8855","18.4400","141.3450","270","2311765-2","TopLayer"
"J3","23117652","18.8326","17.4126","62.3050","67.8455","18.8326","62.3050","270","2311765-2","TopLayer"
"J2","23117652","18.4400","17.0200","99.6950","105.2355","18.4400","99.6950","270","2311765-2","TopLayer"
"R8","2512","24.5000","24.5000","58.8000","61.4000","24.5000","58.8000","90","10R","TopLayer"
"R7","2512","24.5000","24.5000","95.8000","98.4000","24.5000","95.8000","90","10R","TopLayer"
"C1","C_0603","49.0000","49.0000","105.5000","105.5000","48.3000","105.5000","0","1 pF","TopLayer"
"C29","C_0603","45.0000","45.0000","21.0000","21.0000","44.3000","21.0000","0","1 µF","TopLayer"
"C28","C_0603","45.0000","45.0000","23.0000","23.0000","44.3000","23.0000","0","1 µF","TopLayer"
"C27","C_0603","45.0000","45.0000","25.0000","25.0000","44.3000","25.0000","0","1 µF","TopLayer"
"C26","C_0603","48.5000","48.5000","21.0000","21.0000","47.8000","21.0000","0","1 µF","TopLayer"
"C25","C_0603","48.5000","48.5000","23.0000","23.0000","47.8000","23.0000","0","1 µF","TopLayer"
"C24","C_0603","48.5000","48.5000","25.0000","25.0000","47.8000","25.0000","0","1 µF","TopLayer"
"C23","C_0603","31.5000","31.5000","40.5000","40.5000","31.5000","39.8000","90","1 µF","TopLayer"
"C22","C_0603","29.5000","29.5000","40.5000","40.5000","29.5000","39.8000","90","1 µF","TopLayer"
"C21","C_0603","27.5000","27.5000","40.5000","40.5000","27.5000","39.8000","90","1 µF","TopLayer"
"C20","C_0603","31.5000","31.5000","44.0000","44.0000","31.5000","43.3000","90","1 µF","TopLayer"
"C19","C_0603","29.5000","29.5000","44.0000","44.0000","29.5000","43.3000","90","1 µF","TopLayer"
"C18","C_0603","27.5000","27.5000","44.0000","44.0000","27.5000","43.3000","90","1 µF","TopLayer"
"C17","C_0603","51.0000","51.0000","57.5000","57.5000","50.3000","57.5000","0","1 pF","TopLayer"
"C16","C_0603","43.9926","43.9926","63.5000","63.5000","43.2926","63.5000","0","1 µF","TopLayer"
"C15","C_0603","58.4926","58.4926","62.0000","62.0000","58.4926","61.3000","90","100 nF","TopLayer"
"C14","C_0603","50.5000","50.5000","69.5000","69.5000","49.8000","69.5000","0","1 pF","TopLayer"
"C13","C_0603","56.0000","56.0000","148.5000","148.5000","56.0000","149.2000","270","1 µF","TopLayer"
"C12","C_0603","52.0000","52.0000","148.5000","148.5000","52.0000","149.2000","270","1 µF","TopLayer"
"C11","C_0603","48.0000","48.0000","148.5000","148.5000","48.0000","149.2000","270","1 µF","TopLayer"
"C10","C_0603","37.0000","37.0000","125.0000","125.0000","37.7000","125.0000","180","1 µF","TopLayer"
"C9","C_0603","37.0000","37.0000","123.0000","123.0000","37.7000","123.0000","180","1 µF","TopLayer"
"C8","C_0603","37.0000","37.0000","121.0000","121.0000","37.7000","121.0000","180","1 µF","TopLayer"
"C7","C_0603","33.5000","33.5000","121.0000","121.0000","34.2000","121.0000","180","1 µF","TopLayer"
"C6","C_0603","33.5000","33.5000","123.0000","123.0000","34.2000","123.0000","180","1 µF","TopLayer"
"C5","C_0603","33.5000","33.5000","125.0000","125.0000","34.2000","125.0000","180","1 µF","TopLayer"
"C4","C_0603","49.0000","49.0000","94.0000","94.0000","48.3000","94.0000","0","1 pF","TopLayer"
"C3","C_0603","42.4926","42.4926","100.5000","100.5000","41.7926","100.5000","0","1 µF","TopLayer"
"C2","C_0603","55.9926","55.9926","99.0000","99.0000","55.9926","98.3000","90","100 nF","TopLayer"
"J7","FCR7350","60.5000","50.8015","139.5000","139.5000","49.5215","139.5000","0","FCR7350B, PCB mount 4mm jack, BLACK","TopLayer"
"J6","FCR7350","60.4785","50.7800","157.5000","157.5000","49.5000","157.5000","0","FCR7350R, PCB mount 4mm jack, RED","TopLayer"
"MH4","Mounting_Hole_(M5)","72.0000","72.0000","5.5000","5.5000","72.0000","5.5000","0","Mounting_Hole_M5","TopLayer"
"MH3","Mounting_Hole_(M5)","12.5000","12.5000","5.5000","5.5000","12.5000","5.5000","0","Mounting_Hole_M5","TopLayer"
"MH2","Mounting_Hole_(M5)","71.5000","71.5000","173.0000","173.0000","71.5000","173.0000","0","Mounting_Hole_M5","TopLayer"
"MH1","Mounting_Hole_(M5)","12.0000","12.0000","173.0000","173.0000","12.0000","173.0000","0","Mounting_Hole_M5","TopLayer"
"R24","RES_0603_1608","57.4926","57.4926","59.5000","59.5000","56.8426","59.5000","0","49R9","TopLayer"
"R21","RES_0603_1608","57.4926","57.4926","67.0000","67.0000","56.8426","67.0000","0","49R9","TopLayer"
"R5","RES_0603_1608","54.9926","54.9926","96.5000","96.5000","54.3426","96.5000","0","49R9","TopLayer"
"R3","RES_0603_1608","54.9926","54.9926","103.5000","103.5000","54.3426","103.5000","0","49R9","TopLayer"
"R10","RES_1206_3216","51.0000","51.0000","54.0000","54.0000","49.6000","54.0000","0","2k 0.1%","TopLayer"
"R9","RES_1206_3216","50.5000","50.5000","72.5000","72.5000","49.1000","72.5000","0","2k 0.1%","TopLayer"
"R23","RES_1206_3216","39.9926","39.9926","60.0000","60.0000","38.5926","60.0000","0","1k 0.1%","TopLayer"
"R20","RES_1206_3216","39.9926","39.9926","67.0000","67.0000","38.5926","67.0000","0","1k 0.1%","TopLayer"
